id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
951413402148694140,The Win on Wendeller - A Stylish Condo in Boston,142029634,Eran,South Boston,42.32851223209749,-71.05345238041572,Private room,205.0,1,6,0.33,1,90
951532971688006566,988 - Cozy & Lovely Apartment in Boston,530105776,Alex,Dorchester,42.2907089,-71.0461607,Entire home/apt,205.0,1,62,3.21,1,0
952102570622509535,West Roxbury 3rd flr private room with full bed,69267172,Lynda,West Roxbury,42.27766862445315,-71.16072294979159,Private room,77.0,1,33,1.75,14,90
952456025026558868,Harborview House-Close to downtown Boston/airport!,29878972,Brandon,East Boston,42.36422,-71.03329,Entire home/apt,129.0,2,32,1.78,1,0
952862633386844790,Master Bedroom in a Single Family house,526738308,Xianming,West Roxbury,42.2842416,-71.167526,Private room,146.0,1,12,0.66,6,124
952900189308890791,Queen Bedroom in Single Family House,526738308,Xianming,West Roxbury,42.28478,-71.16667,Private room,143.0,1,6,0.33,6,147
954908713931175650,"DowntownBoston,Nearly everything",208829554,Ping,Chinatown,42.34873,-71.06069,Entire home/apt,166.0,91,8,0.55,4,17
955310385881215222,Private Studio In Boston's Bay Village!,285344759,Bv,Bay Village,42.34815599305996,-71.07100746595832,Entire home/apt,152.0,3,38,1.97,19,251
955747356121532736,Bright Back Bay Studio,275849638,Sean,Back Bay,42.35202976524467,-71.08161956401018,Entire home/apt,178.0,1,76,4.14,70,231
957168403842245014,"2 Bedroom Loft Apartment in Brighton, Free Parking",160661353,Shira,Brighton,42.34524270793829,-71.15029424465831,Entire home/apt,153.0,2,16,1.04,2,149
958060371889188296,"(CL5) Roof Deck, w/d",331225367,Paige,South End,42.3423474596366,-71.07732179238533,Entire home/apt,208.0,1,46,2.5,81,107
958063393323060265,(CL2) New with Roof Deck & w/d!,331225367,Paige,South End,42.34214779250125,-71.07909586835892,Entire home/apt,173.0,1,68,3.65,81,98
958065425063050341,(CL9) BRAND NEW!  Back Bay/ South End. Roof Deck!,528489640,Foster,South End,42.34226,-71.07925,Entire home/apt,192.0,1,60,3.21,5,81
958648577659799676,Charming South Boston Private Bedroom,23035099,Kristine,South Boston,42.33409049999999,-71.0319214,Private room,68.0,29,3,0.46,4,192
958740384258392294,Cozy full condo / Walkable to T,200275488,Chris,East Boston,42.36743,-71.03544,Entire home/apt,180.0,4,34,1.82,1,20
958943626506580294,Peace love humility and safety,301580171,Donald,Hyde Park,42.25749571383021,-71.11875652965605,Entire home/apt,348.0,2,7,0.59,3,270
960242504685251361,Travelers Lux Room in the Heart of South Boston #1,342519983,Marquis Escapes,South Boston,42.3370788943205,-71.03337548072379,Private room,98.0,91,1,0.13,6,273
