id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
831914165597361101,Wonderful 1BR in Mission Hill!,275849638,Sean,,Mission Hill,42.331554054259264,-71.09869749195016,Entire home/apt,190,1,8,2023-10-22,0.33,70,292,0,STR-521769
831920496371165632,Spacious Mission Hill Studio!,275849638,Sean,,Mission Hill,42.33238913992304,-71.10074118946933,Entire home/apt,171,1,19,2023-10-29,0.78,70,260,0,STR-521767
831928988006349220,New! Gorgeous 2Br | Mission Hill,275849638,Sean,,Mission Hill,42.33107906800154,-71.10018509120489,Entire home/apt,217,1,82,2025-02-27,3.38,70,213,60,STR-521766
831961056951139768,Comfortable quiet 2 bedroom 1bath,403434847,Dennize,,Mattapan,42.27294408892755,-71.0991840898128,Entire home/apt,195,29,40,2024-11-03,1.65,1,361,24,STR-586958
832012838280777118,Renovated 2 BR Condo + Parking in Brighton/Boston,306329570,Jonathan,,Brighton,42.35044,-71.14829,Entire home/apt,171,5,33,2025-03-06,1.41,4,177,22,STR-530905
832114453980214350,"Luxury, 2bed,2 bath, Boston Central, Boston Univ",266312920,STARS Of,,Fenway,42.34671938164582,-71.10177411892872,Entire home/apt,450,29,7,2023-11-19,0.30,15,322,0,Exempt: This listing is a unit used for furnished institutional or business stays
832227322277899919,Spacious multi-level 4 bed /2bath Apt. in Boston,215677730,Mike,,Roxbury,42.31355842721171,-71.08467057133451,Entire home/apt,200,2,156,2025-03-09,6.42,1,125,62,STR-523111
832513780375417882,3bd  apt w/office close to orange line w/parking,16052189,Jonathan,,Jamaica Plain,42.31059,-71.1056,Entire home/apt,176,30,3,2024-03-15,0.18,11,253,1,
832598826080883496,Cozy boiler room apartment,502313143,Beth,,Dorchester,42.28842855280418,-71.08932835489816,Entire home/apt,83,1,234,2025-02-16,9.46,1,115,101,STR-552086
833414952486827839,"Quarters on Broadway, South Boston 406 Bunk",814298,Thatch,,South Boston,42.34183,-71.0558,Private room,190,2,23,2024-11-11,0.97,55,110,10,Exempt: This listing is a hotel or motel
833503073543017832,Franklin park zoo studio,373241811,Carlos,,Dorchester,42.302495,-71.08192269999999,Entire home/apt,210,29,4,2024-02-26,0.18,1,252,0,STR-511647
834817285518344005,Modern 2 Bedroom in Boston,495932175,Maria,,Roxbury,42.3174703,-71.0801929,Entire home/apt,310,1,63,2024-11-30,2.70,1,327,30,STR-522415
835418850078504364,Boston Studio walk to T Station,151248865,Yao,,Dorchester,42.31921,-71.05955,Entire home/apt,89,31,4,2024-08-05,0.19,8,319,2,
835693426411320572,Charming Boston Private Suite &,171686913,Hunter,,Dorchester,42.32405,-71.06407,Private room,109,29,20,2025-01-31,0.93,3,141,2,STR-522926
835694068257078387,Private Study Room,458115828,Xiaoyou,,West Roxbury,42.27181826278737,-71.15057809070238,Private room,39,5,44,2025-03-10,2.48,4,24,41,STR-545825
835891445272559508,Cozy private queen bedroom in Boston,474189195,Patrice,,Dorchester,42.302460967184984,-71.06631313383025,Private room,54,30,1,2023-05-23,0.05,4,363,0,
837439628788914345,"Blueground | Fenway, roof & gym, nr fenway park",107434423,Blueground,,Fenway,42.3472723,-71.10130939999999,Entire home/apt,251,32,0,,,385,309,0,
837439944560637250,"Blueground | Fenway, roof & gym, nr fenway park",107434423,Blueground,,Fenway,42.3475057,-71.1010258,Entire home/apt,,32,2,2024-06-28,0.13,385,301,1,
837538755134178518,Cute and Cozy Studio!,409684302,Justin And Mandy,,South End,42.340777042944055,-71.07881575156476,Entire home/apt,190,1,9,2025-01-12,0.36,16,306,7,Exempt: This listing is a hotel or motel
837786239370643887,D/R4 Lovely private-bed near Train,412452734,Dan,,Dorchester,42.31909695304579,-71.05518899346905,Private room,57,29,1,2023-03-27,0.04,8,348,0,Exempt: This listing is a unit that has contracts with hospitals
838761294692886820,Accessible Bed: King Bath: in-room,228911273,The Revolution Hotel,,South End,42.3468,-71.07111,Private room,,1,20,2023-05-14,0.32,15,0,0,Exempt: This listing is a hotel or motel
838763668660670089,Accessible Bed: King + Bath: Down the Hall,228911273,The Revolution Hotel,,South End,42.34637,-71.06979,Private room,,1,89,2022-08-07,1.43,15,0,0,Exempt: This listing is a hotel or motel
